artist,title
!!!,A New Name
!!!,Dancing Is The Best Revenge
!!!,Heart of Hearts
!!!,Hello, Is This Thing On?
!!!,One Girl One Boy
"Big Bill" Lister,There's a Tear In My Beer
"MIlli Vanilli",Girl You Know It's True
"Weird" Al Yankovick,I Love Rocky Road
$T3R30+YP3,Deep Blue Sea
'82 England World Cup Squad,This Time We'll Get It Right
'N Sync,Bye Bye Bye
'N Sync,Kiss Me At Midnight
'Til Tuesday,Love in a Vacuum
'Til Tuesday,Maybe Monday
'Til Tuesday,Voices Carry
(Antichrist Television Blues),Arcade Fire
(Sandy) Alex G,Proud
(Spinal Tap),Gimme Some Money
+/-,Halos
+/-,Unsung
-09765,La Di Da
...And You Will Know Us By The Trail Of The Dead,The Wasteland
...And You Will Know Us By The Trail of Dead,Another Morning Stoner
...And You Will Know Us By The Trail of Dead,Relative Ways
...And You Will Know Us By The Trail of Dead,The Rest Will Follow
...And You Will Know Us By The Trail of Dead,The Summer Of '91
...And You Will Know Us By The Trail of Dead,The Wasteland
...Nous Non Plus,Fille Atomique
...Nous Non Plus,Liamant
...Nous Non Plus,One Night in Paris
...Nous Non Plus,Tant Pis Pour Toi
.38 Special,Caught Up In You
1,As One
10 000 Maniacs,Candy Everybody Wants
10 000 Maniacs,Hey Jack Kerouac
10 000 Maniacs,Like the Weather
10 000 Maniacs,My Mother The War
10 000 Maniacs,These Are Days
10 000 Maniacs,What's the Matter Here?
10 c.c.,I'm Not In Love
10 c.c.,Wall Street Shuffle
10 cc,I'm Not In Love
10 cc,The Things We Do For LOve
10,000 Maniacs,Because The Night (live)
10,000 Maniacs,Like the Weather
10,000 Maniacs,Maddox Table
10,000 Maniacs,My Mother The War
10,000 Maniacs,Scorpio Rising
10,000 Maniacs,What's the Matter Here?
1000,A Man, My Brother and Me feat. Larry Milla
10c.c.,I'm Not In Love
10cc,Dreadlock Holiday
10cc,I'm Not In Love
10cc,I'm Not in Love
10cc,The Things We Do For Love
12 RODS,Marionette
12 Rods,Gaymo
12 Rods,Glad That It's Over
12 Rods,I Wish You Were A Girl
12 Rods,Kaboom
12 Rods,Make-Out Music
12 Rods,Mexico
12 Rods,One Thing Does Not Belong
12 Rods,Radio Action
12 Rods,Radioaction
12 Rods,Red
12 Rods,Repeat
12 Rods,Split Personality
12 Rods,Stella
12 Rods,Summertime Vertigo
12 Rods,Teenage Fantasy
12 Rods,Telephone Holiday
12 Rods,Terrible Hands
12 Rods,The Time Is Right (To Be Wrong)
12 Rods,Twenty Four Hours Ago
12 Rods,Undunagin
12 Rods,What Has Happened?
120 Days,Be Mine
120 Days,Sleepwalking
13 and God,Into The Trees
13 and God,L'atlas Flexible (remix)
13 and God,Perfect Speed
13th Floor Elevators,Baby Blue
13th Floor Elevators,I'm Not Coming Home
13th Floor Elevators,Reverberation
13th Floor Elevators,You're Gonna Miss Me
14KT,Paid feat. BLU
16 Horsepower,Black Soul Choir
16 Horsepower,My Narrow Mind
1990's,See You At The Lights
1990's,The Box
1990s,Arcade Precinct
1990s,See You At The Lights
1990s,The Box
2 Bears,Warm &amp; Easy
2 Chainz,Get out the Bed
2 Chainz,It's A Vibe feat. Ty Dolla $ign
2 Live Crew,Drop The Bomb
2 Skinnee J's,Riot Nrrrd.
2 live Crew,Get it Girl
2 of As,Sjleme feat. Franjo
200.000 naglbitar,Live Performance from Iceland
200.000 naglbítar,Allt Í Heimi Hér
200.000 naglbítar,Ekki Gleyma
200.000 naglbítar,Leynibylgjur Gyllta Flóðhestsins
22-20's,In Studio Session
22-20's,Latest Heartbreak
22-20's,Shake Shiver Moan
22-20s,Devil In Me
22-20s,I'm the One
22-20s,Latest Heartbreak
26 BATS!,IM OK
26 BATS!,Oscillate
26 BATS!,Teriyaki Sundress
26 BATS!,Touch Mai Face (KCMP Edit)
26 Bats!,No Limit
26 and THE BATS,HAZY
2:54,Blindfold
2:54,You're Early
2CELLOS (Sulic and Hauser),Smells Like Teen Spirit
2Cellos,Oh Well (Featuring Elton John)
2Mex,Dreaming Under Pressure
2Mex,I Didn't Mean To Touch Your Hand
2Mex and Life Rexall are $martyr,Get Up
2Pac,California Love
2Pac,Changes ft. Talent
2Pac,Got My Mind Made Up featuring Daz, Method Man, Redman, Kurupt The Kingpin
2Pac,Guess Who's Back
2Pac,Holler If Ya Hear Me
2Pac,Keep Ya Head Up
2Pac,Toss It Up
2Pac,Trapped
2Rude,Innovations feat. Saukrates and Pharoahe Monch
3 Minute Hero,Rubber Room
3 Orange Kisses,Autumn in my Mind
3 Simmons,You Are My Dream (School Time)
38 Special,Caught Up In You
38 Special,So Caught Up In You
3RDEYEGIRL,Fixurlifeup feat. Prince
3peat,Sentimental Mood
3rd Bass,Pop Goes The Weasel
3rd Bass,Steppin To The AM
3rd Eye Girl featuring Prince,The Sweeter She Is
4 Non Blondes,What's Up
4 Non Blondes,What's Up?
4 Non Blonds,What's Up?
400 Pounds Of Punk,One Way Or Another (Feat. Jack White)
4ontheFloor,First On A List Of Things I Don't Need
4ontheFloor,Junkie
4ontheFloor,Lionhearted
4ontheFloor,On Tuesdays
4ontheFloor,Why Don't We Do It in the Road
4ontheFloor,Workin' Man Zombie
4onthefloor,First On A List Of Things I Don't Need
4onthefloor,Junkie
4onthefloor,On Tuesdays
4th Curtis,ANJALI
4th Curtis,Anjali
4th Curtis,Chicken
4th Curtis,In-Studio Performance Recorded on March 9, 2017
4th Curtis,Male Model
4th Curtis,Nobody's Listening
50 Cent,In Da Club
50 Cent,In da Club
50 Cent,The Funeral
54-40,Baby Ran
6 String Drag,Drive Around Town
6 String Drag,Kingdom of Gettin' It Wrong
6 String Drag,Let's Fool Around Til the End of the World
6L6,It's All Over Now
7 Seconds,Walk Together, Rock Together
7Horse,Low Fuel Drug Run
7Horse,Meth Lab Zoso Sticker
7L &amp; Esoteric,Drawbar 1-2
7L and Esoteric,No Shots (H2 Instrumental)
7L and Esoteric and Inspectah Deck,Hazmat Rap
7even Thirty,Get Up
7even Thirty,God feat. Laurie Walker
7even Thirty,Hook Heavy featuring Sean Price
7even Thirty,The Business
7even Thirty,The Problem
7even Thirty &amp; Gensu Dean,The Problem
808 State,Pacific State
893 The Current,Artist Interview with Chuck D
94 East,If You See Me
94 East,Just Anothe Sucker
94 East,Just Another Sucker feat. Prince
999,Boiler
999,Found Out Too Late
999,Homicide
9th Ward Marching Band,Burning for You
? And The Mysterians,96 Tears
? And The Mysterians,Can't Get Enough of You Baby
? and the Mysterians,96 Tears
? and the Mysterians,Ten O'Clock
A Band of Bees,Chicken Payback
A Band of Bees,Left Foot Stepdown
A Band of Bees,Listening Man
A Band of Bees,These are the Ghosts
A Beacon School,I Don't Believe It
A Certain Ratio,Dirty Boy feat. Barry Adamson
A Certain Ratio,Do the Du
A Fine Frenzy,Almost Lover
A Fine Frenzy,Now Is The Start
A Firm Handshake,Sandcastles
A Flock Of Seagulls,Space Age Love Song
A Flock Of Seagulls,Space Age Lovesong
A Flock of Seagulls,D.N.A
A Flock of Seagulls,I Ran (So Far Away)
A Flock of Seagulls,Nightmares
A Flock of Seagulls,Space Age Love Song
A Flock of Seagulls,Telecommunication
A Flock of Seagulls,Wishing (I Had a Photograph of You)
A Flock of Seagulls,Wishing (If I Had a Photograph of You)
A Giant Dog,King Queen
A Girl Called Eddy,Somebody Hurt You
A House,Call Me Blue
A Lull,Summer Dress
A Night In The Box,Conductor Man
A Night In The Box,For The Co Pilot
A Night In The Box,Happiness Is A Warm Gun
A Night In The Box,Let Me Know
A Night In The Box,Lie To Me
A Night In The Box,When It's Snowing
A Paper Cup Band,Untuck Your Shirt, Man
A Piano in Every Home,April
A Piano in Every Home,Boxing Glove
A Piano in Every Home,Seasick In Ohio
A Place To Bury Strangers,And I'm Up
A Place To Bury Strangers,I Lost You
A Place to Bury Strangers,In Your Heart
A Place to Bury Strangers,Never Coming Back
A R Rahman,Jai Ho
A Sides,We're The Trees
A Sunny Day In Glasgow,MTLOV (Minor Keys)
A Taste Of Honey,Boogie Oogie Oogie
A Taste of Honey,Boogie Oogie Oogie
A Tribe Called Quest,Award Tour
A Tribe Called Quest,Bonita Applebum
A Tribe Called Quest,Bonita Applebum (Hootie Remix)
A Tribe Called Quest,Buggin' Out
A Tribe Called Quest,Can I Kick It
A Tribe Called Quest,Can I Kick It?
A Tribe Called Quest,Check The Rhyme
A Tribe Called Quest,Check the Rhime
A Tribe Called Quest,Conrad Tokyo
A Tribe Called Quest,Description Of A Fool
A Tribe Called Quest,Dis Generation
A Tribe Called Quest,Ego feat. DJ Scratch and Jack White
