artist,title,album,length,size,url,download
Aashor,Maya,Lokayot,4:33,4.18,http://music.com.bd/download/Music/A/Aashor/07%20-%20Aashor%20-%20%20Maya%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Aashor/07%20-%20Aashor%20-%20%20Maya%20(music.com.bd).mp3
Aashor,Mohasrishtyr Gan,Agontuk 3,3:48,3.5,http://music.com.bd/download/Music/A/Aashor/Aashor%20-%20Mohasrishtyr%20Gan%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Aashor/Aashor%20-%20Mohasrishtyr%20Gan%20(music.com.bd).mp3
Abbasuddin Ahmed,Aare O Bhatir Ganger Naiya,Bhatir Ganger Naiya,3:16,7.5,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Aare%20O%20Bhatir%20Ganger%20Naiya%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Aare%20O%20Bhatir%20Ganger%20Naiya%20(music.com.bd).mp3
Abbasuddin Ahmed,Allah Megh De Pani De,Bhatir Ganger Naiya,3:05,7.09,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Allah%20Megh%20De%20Pani%20De%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Allah%20Megh%20De%20Pani%20De%20(music.com.bd).mp3
Abbasuddin Ahmed,Ami Bhabi Jare Paina Go Taare,Bhatir Ganger Naiya,3:05,7.06,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Ami%20Bhabi%20Jare%20Paina%20Go%20Taare%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Ami%20Bhabi%20Jare%20Paina%20Go%20Taare%20(music.com.bd).mp3
Abbasuddin Ahmed,Boitha Jore Baore Bondhu,Bhatir Ganger Naiya,3:01,6.92,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Boitha%20Jore%20Baore%20Bondhu%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Boitha%20Jore%20Baore%20Bondhu%20(music.com.bd).mp3
Abbasuddin Ahmed,Ekbaar Asiya Sonar Chand,Bhatir Ganger Naiya,3:06,7.11,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Ekbaar%20Asiya%20Sonar%20Chand%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Ekbaar%20Asiya%20Sonar%20Chand%20(music.com.bd).mp3
Abbasuddin Ahmed,Gurur Pade Prembhokti,Bhatir Ganger Naiya,3:12,7.33,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Gurur%20Pade%20Prembhokti%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Gurur%20Pade%20Prembhokti%20(music.com.bd).mp3
Abbasuddin Ahmed,Heinyo Re Heinyo,Bhatir Ganger Naiya,2:43,6.23,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Heinyo%20Re%20Heinyo%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Heinyo%20Re%20Heinyo%20(music.com.bd).mp3
Abbasuddin Ahmed,Mhaji Baiya Jao Re,Bhatir Ganger Naiya,3:09,7.23,http://music.com.bd/download/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Mhaji%20Baiya%20Jao%20Re%20(music.com.bd).mp3.html,http://download.music.com.bd/Music/A/Abbasuddin%20Ahmed/Bhatir%20Ganger%20Naiya/Abbasuddin%20Ahmed%20-%20Mhaji%20Baiya%20Jao%20Re%20(music.com.bd).mp3
